Date,Year,Month,Day_Number,Day_Name,Close,Open,High,Low
7/5/24,2024,7,5,Friday,20391.97,20224.13,20406.99,20201.5
7/3/24,2024,7,3,Wednesday,20186.63,19995.28,20186.63,19995.28
7/2/24,2024,7,2,Tuesday,20011.89,19746.22,20014.92,19741.81
7/1/24,2024,7,1,Monday,19812.22,19720.11,19827.75,19577.54
6/28/24,2024,6,28,Friday,19682.87,19817,20017.71,19665.85
6/27/24,2024,6,27,Thursday,19789.03,19740.51,19850.81,19701.34
6/26/24,2024,6,26,Wednesday,19751.05,19671.07,19763.55,19654.18
6/25/24,2024,6,25,Tuesday,19701.13,19555.84,19712.42,19523.51
6/24/24,2024,6,24,Monday,19474.62,19648.23,19723.2,19472.53
6/21/24,2024,6,21,Friday,19700.43,19722.37,19801.97,19643.52
6/20/24,2024,6,20,Thursday,19752.3,19962.97,19979.93,19685.03
6/18/24,2024,6,18,Tuesday,19908.86,19904.43,19940.5,19837.86
6/17/24,2024,6,17,Monday,19902.75,19681.86,19977.84,19623.71
6/14/24,2024,6,14,Friday,19659.8,19557.22,19664.59,19534.62
6/13/24,2024,6,13,Thursday,19576.92,19609.05,19639.45,19473.71
6/12/24,2024,6,12,Wednesday,19465.18,19358.26,19556.9,19347.28
6/11/24,2024,6,11,Tuesday,19210.18,19031.4,19212.63,18966.56
6/10/24,2024,6,10,Monday,19074.67,18945.31,19089.83,18940.71
6/7/24,2024,6,7,Friday,19000.95,18992.58,19113.88,18958.68
6/6/24,2024,6,6,Thursday,19021.19,19053.01,19071.79,18978.86
6/5/24,2024,6,5,Wednesday,19035.05,18791.28,19035.87,18768.25
6/4/24,2024,6,4,Tuesday,18654.84,18598,18697.95,18521.85
6/3/24,2024,6,3,Monday,18600.97,18666.72,18707.22,18392.57
5/31/24,2024,5,31,Thursday,18536.65,18550.8,18574.56,18189.78
5/30/24,2024,5,30,Wednesday,18538.66,18683.25,18705.26,18487.76
5/29/24,2024,5,29,Tuesday,18736.75,18708.07,18814.82,18706.62
5/28/24,2024,5,28,Monday,18869.44,18855.15,18875.2,18755.94
5/24/24,2024,5,24,Friday,18808.35,18669.36,18851.99,18664.79
5/23/24,2024,5,23,Thursday,18623.39,18907.14,18907.54,18554.89
5/22/24,2024,5,22,Wednesday,18705.2,18733.54,18756.69,18606.16
5/21/24,2024,5,21,Tuesday,18713.8,18603.99,18721.18,18589.91
5/20/24,2024,5,20,Monday,18674.19,18559.22,18703.83,18549.84
5/17/24,2024,5,17,Friday,18546.23,18571.82,18590.37,18462.25
5/16/24,2024,5,16,Thursday,18557.96,18589.98,18669.5,18553.3
5/15/24,2024,5,15,Wednesday,18596.65,18412.81,18607.53,18359.32
5/14/24,2024,5,14,Tuesday,18322.77,18187.51,18339.58,18175.3
5/13/24,2024,5,13,Monday,18198.61,18228.4,18233.5,18147.57
5/10/24,2024,5,10,Friday,18161.18,18171.15,18247.61,18099.73
5/9/24,2024,5,9,Thursday,18113.46,18095.8,18138.02,18012.62
5/8/24,2024,5,8,Wednesday,18085.01,17987.7,18135.34,17987.7
5/7/24,2024,5,7,Tuesday,18091.45,18106.33,18156.32,18061.61
5/6/24,2024,5,6,Monday,18093.57,17950.98,18094.46,17937.28
5/3/24,2024,5,3,Friday,17890.8,17848.66,17926.98,17784.78
5/2/24,2024,5,2,Thursday,17541.54,17474.92,17575.8,17290.64
5/1/24,2024,5,1,Wednesday,17318.55,17382.78,17667.86,17284.37
4/30/24,2024,4,30,Tuesday,17440.69,17720.35,17768.87,17440.69
4/29/24,2024,4,29,Monday,17782.72,17801.14,17820,17671.03
4/26/24,2024,4,26,Friday,17718.3,17566.22,17772.78,17533.08
4/25/24,2024,4,25,Thursday,17430.5,17205.28,17474.46,17172.42
4/24/24,2024,4,24,Wednesday,17526.8,17613.66,17653.66,17435.33
4/23/24,2024,4,23,Tuesday,17471.47,17297.24,17513.31,17277.25
4/22/24,2024,4,22,Monday,17210.89,17161.11,17305.15,17010.25
4/19/24,2024,4,19,Friday,17037.65,17334.71,17362.28,16973.94
4/18/24,2024,4,18,Thursday,17394.31,17514.77,17590.81,17376.49
4/17/24,2024,4,17,Wednesday,17493.62,17785.82,17788.54,17459.57
4/16/24,2024,4,16,Tuesday,17713.66,17691.45,17817.73,17660.89
4/15/24,2024,4,15,Monday,17706.83,18143.25,18152.08,17676.35
4/12/24,2024,4,12,Friday,18003.49,18117.67,18166.49,17952.09
4/11/24,2024,4,11,Thursday,18307.98,18085.11,18337.15,17998.25
4/10/24,2024,4,10,Wednesday,18011.65,17957.96,18040.83,17932.42
4/9/24,2024,4,9,Tuesday,18169.9,18188.87,18210.02,17973.07
4/8/24,2024,4,8,Monday,18100.19,18130.44,18178.66,18050.69
4/5/24,2024,4,5,Friday,18108.46,17940.28,18202.96,17912.86
4/4/24,2024,4,4,Thursday,17878.78,18331.02,18362.29,17875.75
4/3/24,2024,4,3,Wednesday,18160.19,18054.44,18238.67,18045.42
4/2/24,2024,4,2,Tuesday,18121.78,18076.43,18135.57,18002.27
4/1/24,2024,4,1,Monday,18293.2,18280.82,18391.58,18211.28
3/28/24,2024,3,28,Thursday,18254.69,18263.41,18308.32,18231.38
3/27/24,2024,3,27,Wednesday,18280.84,18338.19,18344.09,18168.2
3/26/24,2024,3,26,Tuesday,18210.54,18329.29,18378.7,18207.88
3/25/24,2024,3,25,Monday,18277.06,18215.54,18337.35,18189.28
3/22/24,2024,3,22,Friday,18339.44,18293.15,18386.25,18267.49
3/21/24,2024,3,21,Thursday,18320.38,18438.24,18464.7,18317.1
3/20/24,2024,3,20,Wednesday,18240.11,18067.7,18249.12,18003.24
3/19/24,2024,3,19,Tuesday,18032.2,17902.52,18039.82,17809.15
3/18/24,2024,3,18,Monday,17985.01,18024.24,18124.32,17973.09
3/15/24,2024,3,15,Friday,17808.25,17926.92,17930.47,17764.99
3/14/24,2024,3,14,Thursday,18014.81,18114.69,18142.9,17913.63
3/13/24,2024,3,13,Wednesday,18068.47,18151.76,18163.74,18030.4
3/12/24,2024,3,12,Tuesday,18219.11,18063.02,18228.37,17919.33
3/11/24,2024,3,11,Monday,17951.69,17959.68,18003.05,17873.33
3/8/24,2024,3,8,Friday,18018.45,18312.78,18416.73,17995.38
3/7/24,2024,3,7,Thursday,18297.99,18161.73,18337.95,18101.43
3/6/24,2024,3,6,Wednesday,18017.57,18083.51,18142.88,17941.64
3/5/24,2024,3,5,Tuesday,17897.87,18088.71,18097.5,17804.5
3/4/24,2024,3,4,Monday,18226.48,18290.1,18313.43,18218.25
3/1/24,2024,3,1,Friday,18302.91,18069.29,18333.26,18064.44
2/29/24,2024,2,29,Thursday,18043.85,17991.67,18068.52,17866.26
2/28/24,2024,2,28,Wednesday,17874.5,17895.03,17931.01,17840.36
2/27/24,2024,2,27,Tuesday,17971.05,17962.58,17987.54,17871.06
2/26/24,2024,2,26,Monday,17933.33,17970.21,18014.11,17926.66
2/23/24,2024,2,23,Friday,17937.61,18052.59,18091.62,17902.78
2/22/24,2024,2,22,Thursday,18004.7,17857.76,18034.8,17808.26
2/21/24,2024,2,21,Wednesday,17478.91,17412.79,17482.13,17319.44
2/20/24,2024,2,20,Tuesday,17546.1,17591.17,17657.08,17399.41
2/16/24,2024,2,16,Friday,17685.98,17853.59,17864.16,17663.4
2/15/24,2024,2,15,Thursday,17845.72,17815.32,17864.58,17722.31
2/14/24,2024,2,14,Wednesday,17807.63,17728.9,17815.18,17619.92
2/13/24,2024,2,13,Tuesday,17600.42,17519.8,17717.67,17478.23
2/12/24,2024,2,12,Monday,17882.66,17942.28,18041.45,17859.66
2/9/24,2024,2,9,Friday,17962.41,17820.98,17987.9,17798.81
2/8/24,2024,2,8,Thursday,17783.17,17757.6,17814.12,17728.55
2/7/24,2024,2,7,Wednesday,17755.07,17674.59,17784.17,17637.73
2/6/24,2024,2,6,Tuesday,17572.73,17664.44,17680.62,17475.43
2/5/24,2024,2,5,Monday,17613.04,17634.69,17655.77,17469.62
2/2/24,2024,2,2,Friday,17642.73,17415.94,17682.29,17378.37
2/1/24,2024,2,1,Thursday,17344.71,17216.99,17356.76,17175.83
1/31/24,2024,1,31,Wednesday,17137.24,17269.98,17375.32,17128.74
1/30/24,2024,1,30,Tuesday,17476.71,17596.27,17578.46,17443.77
1/29/24,2024,1,29,Monday,17596.27,17438.03,17603.95,17414.62
1/26/24,2024,1,26,Friday,17421.01,17432.87,17514.76,17395.54
1/25/24,2024,1,25,Thursday,17516.99,17589.27,17631.34,17430.37
1/24/24,2024,1,24,Wednesday,17499.3,17562.32,17665.26,17481.97
1/23/24,2024,1,23,Tuesday,17404.21,17346.95,17410.86,17286.02
1/22/24,2024,1,22,Monday,17330.38,17403.62,17450.3,17309.87
1/19/24,2024,1,19,Friday,17314,17060.14,17317.21,17041.85
1/18/24,2024,1,18,Thursday,16982.29,16894.33,16996.98,16818.13
1/17/24,2024,1,17,Wednesday,16736.28,16705.51,16749.11,16561.49
1/16/24,2024,1,16,Tuesday,16830.71,16775.1,16895.33,16726.59
1/12/24,2024,1,12,Friday,16832.92,16855,16900.37,16776.92
1/11/24,2024,1,11,Thursday,16820.9,16852.19,16898.16,16618.86
1/10/24,2024,1,10,Wednesday,16793.05,16702.55,16827.37,16654.74
1/9/24,2024,1,9,Tuesday,16678.7,16531.96,16710.88,16513.73
1/8/24,2024,1,8,Monday,16649.87,16354.22,16655.23,16349.39
1/5/24,2024,1,5,Friday,16305.98,16281.74,16415.39,16249.19
1/4/24,2024,1,4,Thursday,16282.01,16290.77,16419.44,16276.43
1/3/24,2024,1,3,Wednesday,16368.49,16413.26,16471.08,16352.14
1/2/24,2024,1,2,Tuesday,16543.94,16667.3,16686.6,16453.15
12/29/23,2023,12,29,Friday,16825.93,16902.44,16919.51,16757.89
12/28/23,2023,12,28,Thursday,16898.47,16963.52,16969.17,16891.32
